"","from","to","weight"
"140","Fin","Spa",1
"141","Fin","Swi",1
"142","Fin","UK",1
"143","Fin","US",1
"144","Fin","Yug",1
"145","Hon","Arg",1
"146","Hon","Bra",1
"147","Hon","Chi",1
"148","Hon","Ecu",1
"149","Hon","Isr",1
"150","Hon","Jap",1
"151","Hon","Spa",1
"152","Hon","UK",1
"153","Hon","US",1
"154","Ind","Alg",1
"155","Ind","Arg",1
"156","Ind","Bra",1
"157","Ind","Cze",1
"158","Ind","Egy",1
"159","Ind","Fin",1
"160","Ind","Jap",1
"161","Ind","NZ",1
"162","Ind","Pak",1
"163","Ind","Spa",1
"164","Ind","Swi",1
"165","Ind","Syr",1
"166","Ind","Tai",1
"167","Ind","UK",1
"168","Ind","US",1
"169","Ind","Yug",1
"170","Isr","Arg",1
"171","Isr","Bra",1
"172","Isr","Ecu",1
"173","Isr","Fin",1
"174","Isr","Jap",1
"175","Isr","Swi",1
"176","Isr","UK",1
"177","Isr","US",1
"178","Jap","Alg",1
"179","Jap","Arg",1
"180","Jap","Bra",1
"181","Jap","Chi",1
"182","Jap","Cze",1
"183","Jap","Ecu",1
"184","Jap","Egy",1
"185","Jap","Eth",1
"186","Jap","Fin",1
"187","Jap","Hon",1
"188","Jap","Ind",1
"189","Jap","Isr",1
"190","Jap","Lib",1
"191","Jap","Mad",1
"192","Jap","NZ",1
"193","Jap","Pak",1
"194","Jap","Spa",1
"195","Jap","Swi",1
"196","Jap","Syr",1
"197","Jap","Tai",1
"198","Jap","UK",1
"199","Jap","US",1
"200","Jap","Yug",1
"201","Lib","Alg",1
"202","Lib","Chi",1
"203","Lib","Egy",1
"204","Lib","Eth",1
"205","Lib","Isr",1
"206","Lib","Jap",1
"207","Lib","Spa",1
"208","Lib","Swi",1
"209","Lib","UK",1
"210","Lib","US",1
"211","Mad","Alg",1
"212","Mad","Chi",1
"213","Mad","Egy",1
"214","Mad","Ind",1
"215","Mad","Jap",1
"216","Mad","Swi",1
"217","Mad","UK",1
"218","Mad","US",1
"219","NZ","Chi",1
"220","NZ","Cze",1
"221","NZ","Egy",1
"222","NZ","Ind",1
"223","NZ","Isr",1
"224","NZ","Jap",1
"225","NZ","Swi",1
"226","NZ","Tai",1
"227","NZ","UK",1
"228","NZ","US",1
"229","NZ","Yug",1
"230","Pak","Alg",1
"231","Pak","Arg",1
"232","Pak","Bra",1
"233","Pak","Chi",1
"234","Pak","Cze",1
"235","Pak","Egy",1
"236","Pak","Ind",1
"237","Pak","Jap",1
"238","Pak","Spa",1
"239","Pak","Swi",1
"240","Pak","Syr",1
"241","Pak","Tai",1
"242","Pak","UK",1
"243","Pak","US",1
"244","Pak","Yug",1
"245","Spa","Alg",1
"246","Spa","Arg",1
"247","Spa","Bra",1
"248","Spa","Chi",1
"249","Spa","Cze",1
"250","Spa","Ecu",1
"251","Spa","Egy",1
"252","Spa","Fin",1
"253","Spa","Hon",1
"254","Spa","Ind",1
"255","Spa","Jap",1
"256","Spa","Pak",1
"257","Spa","Swi",1
"258","Spa","Syr",1
"259","Spa","Tai",1
"260","Spa","UK",1
"261","Spa","US",1
"262","Spa","Yug",1
"263","Swi","Alg",1
"264","Swi","Arg",1
"265","Swi","Bra",1
"266","Swi","Chi",1
"267","Swi","Cze",1
"268","Swi","Ecu",1
"269","Swi","Egy",1
"270","Swi","Fin",1
"271","Swi","Ind",1
"272","Swi","Isr",1
"273","Swi","Jap",1
"274","Swi","Pak",1
"275","Swi","Spa",1
"276","Swi","Tai",1
"277","Swi","UK",1
"278","Swi","US",1
"279","Swi","Yug",1
"280","Syr","Alg",1
"281","Syr","Arg",1
"282","Syr","Bra",1
"283","Syr","Chi",1
"284","Syr","Cze",1
"285","Syr","Ind",1
"286","Syr","Jap",1
"287","Syr","Pak",1
"288","Syr","Spa",1
"289","Syr","Swi",1
"290","Syr","UK",1
"291","Syr","US",1
"292","Syr","Yug",1
"293","Tai","Arg",1
"294","Tai","Bra",1
"295","Tai","Chi",1
"296","Tai","Egy",1
"297","Tai","Fin",1
"298","Tai","Ind",1
"299","Tai","Isr",1
"300","Tai","Jap",1
"301","Tai","NZ",1
"302","Tai","Pak",1
"303","Tai","Spa",1
"304","Tai","Swi",1
"305","Tai","UK",1
"306","Tai","US",1
"307","Tai","Yug",1
"308","UK","Alg",1
"309","UK","Bra",1
"310","UK","Chi",1
"311","UK","Cze",1
"312","UK","Ecu",1
"313","UK","Egy",1
"314","UK","Eth",1
"315","UK","Fin",1
"316","UK","Hon",1
"317","UK","Ind",1
"318","UK","Isr",1
"319","UK","Jap",1
"320","UK","Lib",1
"321","UK","NZ",1
"322","UK","Pak",1
"323","UK","Spa",1
"324","UK","Swi",1
"325","UK","Syr",1
"326","UK","Tai",1
"327","UK","US",1
"328","UK","Yug",1
"329","US","Alg",1
"330","US","Arg",1
"331","US","Bra",1
"332","US","Chi",1
"333","US","Cze",1
"334","US","Ecu",1
"335","US","Egy",1
"336","US","Eth",1
"337","US","Fin",1
"338","US","Hon",1
"339","US","Ind",1
"340","US","Isr",1
"341","US","Jap",1
"342","US","Lib",1
"343","US","Mad",1
"344","US","NZ",1
"345","US","Pak",1
"346","US","Spa",1
"347","US","Swi",1
"348","US","Syr",1
"349","US","Tai",1
"350","US","UK",1
"351","US","Yug",1
"352","Yug","Alg",1
"353","Yug","Arg",1
"354","Yug","Bra",1
"355","Yug","Chi",1
"356","Yug","Cze",1
"357","Yug","Ecu",1
"358","Yug","Egy",1
"359","Yug","Eth",1
"360","Yug","Fin",1
"361","Yug","Ind",1
"362","Yug","Jap",1
"363","Yug","Pak",1
"364","Yug","Spa",1
"365","Yug","Swi",1
"366","Yug","Syr",1
"367","Yug","Tai",1
"368","Yug","UK",1
"369","Yug","US",1
