"","from","to","weight"
"125","Isr","Arg",1
"126","Isr","Ecu",1
"127","Isr","Fin",1
"128","Isr","Spa",1
"129","Isr","Swi",1
"130","Isr","UK",1
"131","Isr","US",1
"132","Isr","Yug",1
"133","Jap","Alg",1
"134","Jap","Arg",1
"135","Jap","Bra",1
"136","Jap","Chi",1
"137","Jap","Cze",1
"138","Jap","Ecu",1
"139","Jap","Egy",1
"140","Jap","Eth",1
"141","Jap","Fin",1
"142","Jap","Ind",1
"143","Jap","Isr",1
"144","Jap","NZ",1
"145","Jap","Pak",1
"146","Jap","Spa",1
"147","Jap","Swi",1
"148","Jap","Syr",1
"149","Jap","Tai",1
"150","Jap","UK",1
"151","Jap","US",1
"152","Jap","Yug",1
"153","Lib","Egy",1
"154","Lib","Isr",1
"155","Lib","Jap",1
"156","Lib","Pak",1
"157","Lib","Spa",1
"158","Lib","Swi",1
"159","Lib","Syr",1
"160","Lib","UK",1
"161","Lib","US",1
"162","Lib","Yug",1
"163","Mad","Jap",1
"164","Mad","Spa",1
"165","Mad","UK",1
"166","Mad","US",1
"167","NZ","Alg",1
"168","NZ","Arg",1
"169","NZ","Chi",1
"170","NZ","Cze",1
"171","NZ","Egy",1
"172","NZ","Fin",1
"173","NZ","Ind",1
"174","NZ","Isr",1
"175","NZ","Jap",1
"176","NZ","Pak",1
"177","NZ","Spa",1
"178","NZ","Swi",1
"179","NZ","Syr",1
"180","NZ","Tai",1
"181","NZ","UK",1
"182","NZ","US",1
"183","NZ","Yug",1
"184","Pak","Chi",1
"185","Pak","Cze",1
"186","Pak","Ind",1
"187","Pak","Jap",1
"188","Pak","Spa",1
"189","Pak","Swi",1
"190","Pak","Tai",1
"191","Pak","UK",1
"192","Pak","US",1
"193","Spa","Alg",1
"194","Spa","Arg",1
"195","Spa","Bra",1
"196","Spa","Chi",1
"197","Spa","Ecu",1
"198","Spa","Egy",1
"199","Spa","Fin",1
"200","Spa","Hon",1
"201","Spa","Ind",1
"202","Spa","Isr",1
"203","Spa","Jap",1
"204","Spa","NZ",1
"205","Spa","Pak",1
"206","Spa","Swi",1
"207","Spa","Syr",1
"208","Spa","Tai",1
"209","Spa","UK",1
"210","Spa","US",1
"211","Spa","Yug",1
"212","Swi","Alg",1
"213","Swi","Arg",1
"214","Swi","Bra",1
"215","Swi","Chi",1
"216","Swi","Cze",1
"217","Swi","Ecu",1
"218","Swi","Egy",1
"219","Swi","Fin",1
"220","Swi","Ind",1
"221","Swi","Isr",1
"222","Swi","Jap",1
"223","Swi","NZ",1
"224","Swi","Pak",1
"225","Swi","Spa",1
"226","Swi","Syr",1
"227","Swi","Tai",1
"228","Swi","UK",1
"229","Swi","US",1
"230","Swi","Yug",1
"231","Syr","Alg",1
"232","Syr","Cze",1
"233","Syr","Jap",1
"234","Syr","Spa",1
"235","Syr","UK",1
"236","Syr","Yug",1
"237","Tai","Chi",1
"238","Tai","Cze",1
"239","Tai","Egy",1
"240","Tai","Fin",1
"241","Tai","Ind",1
"242","Tai","Isr",1
"243","Tai","Jap",1
"244","Tai","NZ",1
"245","Tai","Pak",1
"246","Tai","Spa",1
"247","Tai","Swi",1
"248","Tai","UK",1
"249","Tai","US",1
"250","Tai","Yug",1
"251","UK","Alg",1
"252","UK","Bra",1
"253","UK","Chi",1
"254","UK","Cze",1
"255","UK","Ecu",1
"256","UK","Egy",1
"257","UK","Eth",1
"258","UK","Fin",1
"259","UK","Ind",1
"260","UK","Isr",1
"261","UK","Jap",1
"262","UK","Lib",1
"263","UK","NZ",1
"264","UK","Pak",1
"265","UK","Spa",1
"266","UK","Swi",1
"267","UK","Syr",1
"268","UK","Tai",1
"269","UK","US",1
"270","UK","Yug",1
"271","US","Alg",1
"272","US","Arg",1
"273","US","Bra",1
"274","US","Chi",1
"275","US","Cze",1
"276","US","Ecu",1
"277","US","Egy",1
"278","US","Eth",1
"279","US","Fin",1
"280","US","Hon",1
"281","US","Ind",1
"282","US","Isr",1
"283","US","Jap",1
"284","US","Lib",1
"285","US","Mad",1
"286","US","NZ",1
"287","US","Pak",1
"288","US","Spa",1
"289","US","Swi",1
"290","US","Syr",1
"291","US","Tai",1
"292","US","UK",1
"293","US","Yug",1
"294","Yug","Alg",1
"295","Yug","Chi",1
"296","Yug","Cze",1
"297","Yug","Egy",1
"298","Yug","Eth",1
"299","Yug","Isr",1
"300","Yug","Jap",1
"301","Yug","Pak",1
"302","Yug","Spa",1
"303","Yug","Swi",1
"304","Yug","Syr",1
"305","Yug","Tai",1
"306","Yug","UK",1
"307","Yug","US",1
