"","Source","Target","Relationship"
"153","Cindy Simms","Donald J. Trump","Special assistant"
"154","Eric Trump","Donald J. Trump","Parent/child"
"155","Gerrit Lansing","Donald J. Trump","Former Chief Digital Officer"
"156","James Schultz","Donald J. Trump","Senior associate counsel"
"157","Stephen Munisteri","Donald J. Trump","Deputy assistant"
"158","Richard Lefrak","Donald J. Trump","""one of Trump's few close friends in New York real estate,"" per New York Magazine and co-head of his new infrastructure council according to the Wall Street Journal"
"159","Steven Mnuchin","Donald J. Trump","Secretary of Treasury"
"160","Linda Bean","Donald J. Trump","Donor"
"161","Mike Pence","Donald J. Trump","Vice President"
"162","Sebastian Gorka","Donald J. Trump","Deputy assistant"
"163","Rupert Murdoch","Donald J. Trump","""The president’s relationship with Mr. Murdoch is deeper and more enduring than most in his life, and the two commiserate and plot strategy in their phone calls, according to people close to both,"" according to the New York Times"
"164","Mary T. Barra","Donald J. Trump","Member of Trump's Strategic and Policy forum"
"165","Rebekah Mercer","Donald J. Trump","Major donor"
"166","Alexander Gray","Donald J. Trump","Special assistant"
"167","Robert A. Iger","Donald J. Trump","Member of Trump's Strategic and Policy forum"
"168","Anthony Scaramucci","Donald J. Trump","Considered for senior adviser to the President position"
"169","Gary Cohn","Donald J. Trump","Director United States National Economic Council"
"170","Maryanne Trump Barry","Donald J. Trump","Siblings"
"171","Keith Schiller","Donald J. Trump","Director of Oval Office operations"
"172","Peter Thiel","Donald J. Trump","Former transition team member"
"173","Sheri A. Dillon","Donald J. Trump","Conflicts of interest lawyer"
"174","Carlos Diaz-rosillo","Donald J. Trump","Deputy assistant"
"175","Brad Parscale","Donald J. Trump","Former digital director for Trump campaign"
"176","Scott Gast","Donald J. Trump","Senior associate counsel"
"177","John Destefano","Donald J. Trump","Director of presidential personnel"
"178","Nikki Haley","Donald J. Trump","Ambassador to the United Nations"
"179","Noel Francisco","Donald J. Trump","Principal Deputy Solicitor General"
"180","Joseph Lai","Donald J. Trump","Special assistant"
"181","Andrew D. Koenig","Donald J. Trump","Special assistant"
"182","Hope Hicks","Donald J. Trump","Director of Strategic Communications, White House"
"183","David S. Cordish","Donald J. Trump","Friends"
"184","David S. Cordish","Reed S. Cordish","Parent/child"
"185","Cui Tiankai","Jared Kushner","""Kushner and Cui have had an extensive ongoing dialogue that has been positive, according to a White House official,"" per Bloomberg"
"186","Jared Kushner","Rob Speyer","Gave Kushner $50 million to help by a property from his father's company-Tishman Speyer"
"187","Avram Lebor","Jared Kushner","Kushner hired him for his real estate company"
"188","Ryan Doherty","Jared Kushner","Friends"
"189","Nicole Kushner Meyer","Jared Kushner","Siblings"
"190","Ivanka Trump","Jared Kushner","Married"
"191","Joshua Kushner","Jared Kushner","Siblings"
"192","Margaret Chin","Jared Kushner","Donor"
"193","Justin Weniger","Jared Kushner","Friends"
"194","Avrahm Berkowitz","Jared Kushner","Assistant"
"195","Asher Abehsera","Jared Kushner","Partnered with Kushner in Brooklyn projects"
"196","Martin Sorrell","Jared Kushner","Friends"
"197","Miles Berger","Jared Kushner","""business partner of the Kushners,"" per New York Magazine"
"198","Dara Orbach","Jared Kushner","Siblings"
"199","Charles Kushner","Jared Kushner","Parent/child"
"200","Richard Goettlich","Jared Kushner","Kushner hired him for his real estate company"
"201","Benjamin Netanyahu","Jared Kushner","Longtime family friends, per Reuters"
"202","Strauss Zelnick","Jared Kushner","""close with Kushner,"" per New York Magazine"
"203","Charles G. Koch","David H. Koch","Siblings"
"204","Charles G. Koch","Marc Short","""the Koch brothers’ top political adviser in Washington and a trusted member of their inner circle for five years,"" per Politico"
"205","Charles G. Koch","William I. Koch","Siblings"
"206","David H. Koch","William I. Koch","Siblings"
"207","Marc Short","David H. Koch","""the Koch brothers’ top political adviser in Washington and a trusted member of their inner circle for five years,"" per Politico"
"208","Mike Pence","Marc Short","""Longtime aide,"" per CNN"
"209","Chloe Murdoch","Wendi Deng Murdoch","Parent/child"
"210","Chloe Murdoch","Rupert Murdoch","Parent/child"
"211","Chloe Murdoch","Ivanka Trump","Former trustee"
"212","Ivanka Trump","Mehmet Ali Yalcindag","Business partners"
"213","Ivanka Trump","Grace Murdoch","Former trustee"
"214","Ivanka Trump","Andriy Zaika","Met in 2006, when Zaika was head of the Ukrainian Construction Consortium"
"215","Paulo Figueiredo Filho","Ivanka Trump","Lunched together, spawning Trump interest in Rio hotel"
"216","Dina Powell","Ivanka Trump","Ivanka Trump ""has been leaning on [Powell] ... as a top adviser on policy and staffing,"" per Politico"
"217","Donald Trump Jr.","Ivanka Trump","Siblings"
"218","Viktor Tkachuk","Ivanka Trump","Met in 2006, when Tkachuk was an adviser to the Ukrainian president"
"219","Wendi Deng Murdoch","Ivanka Trump","""Close friend,"" according to the Guardian"
"220","Felipe Yaryura","Ivanka Trump","The Argentine real estate developer is said to be friends with the Trump family"
"221","Eric Trump","Ivanka Trump","Siblings"
"222","Rupert Murdoch","Grace Murdoch","Parent/child"
"223","Wendi Deng Murdoch","Grace Murdoch","Parent/child"
"224","Brad Parscale","Alexander Nix","Pascale says he hired Nix's company, Cambridge Analytica, to work on the campaign"
"225","Stephen Vaden","Sonny Perdue","Special assistant to Secretary of Agriculture"
"226","Serhiy Lyovochkin","Paul Manafort","Manafort ran PR for Lyovochkin's campaign"
"227","Paul Manafort","Dmitry Firtash","Worked together in bid for site of Drake Hotel in NYC"
"228","Paul Manafort","Rinat Akhmetov","Manafort worked to improve image of Akhmetov's companies"
"229","Paul Manafort","Viktor F. Yanukovych","Manafort ran PR for Yanukovych's campaign"
"230","Abdul Rahman Al-assir","Paul Manafort","Manafort secured a loan from al-Assir"
"231","Arthur G. Cohen","Paul Manafort","""negotiated a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times"
"232","Dmytro Firtash","Paul Manafort","Manafort and Firtash, ""an oligarch who made billions as a middleman for Gazprom,"" were partners in ""a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times"
"233","Maryanne Trump Barry","Kevin Marino","Marino served as Barry's law clerk"
"234","Kevin Marino","Bill Stepien","Marino served as Stepien's attorney during the Bridgegate trial"
"235","Anthony Scaramucci","Kirill Dmitriev","Met at Davos"
"236","Rebekah Mercer","Kellyanne Conway","""They're close,"" per The Atlantic"
"237","Rebekah Mercer","Stephen Bannon","""Tied at the hip,"" per a source to The Hill"
"238","Rebekah Mercer","Sylvain Mirochnikoff","Married"
"239","Rebekah Mercer","Robert Mercer","Parent/child"
"240","Robert Mercer","Nigel Farage","""Close friends,"" per the Guardian"
"241","Patrick Caddell","Robert Mercer","""At least as far back as 2013 [Caddell] has been a contractor for one of Trump’s biggest financial backers: Robert Mercer,"" per The New Yorker"
"242","Stephen Bannon","Robert Mercer","Bannon served as the Mercer family's ""political advisor,"" per the Washington Post"
"243","Stephen Bannon","Patrick Caddell","Bannon and Caddell have ""partnered on numerous projects,"" per The New Yorker"
"244","Stephen Bannon","Kellyanne Conway","Conway is ""buddies"" with Bannon, per Elle"
"245","Stephen Bannon","Julia Hahn","""Hahn is a protégée of Stephen Bannon,"" per The New Yorker"
"246","Stephen Bannon","Jennifer Mercer","Bannon served as the Mercer family's ""political advisor,"" per the Washington Post"
"247","Stephen Bannon","Erik Prince","""Prince has a close relationship with Breitbart News and Steve Bannon,"" per The Intercept"
"248","Eric Holcomb","Kellyanne Conway","Conway provided consulting services to Holcomb"
"249","George T. Conway Iii","Kellyanne Conway","Married"
"250","Rudy Giuliani","Ken Kurson","Worked on 2008 presidential campaign"
"251","Rudy Giuliani","Wilbur Ross","Privatization advisor when Giuliani was mayor"
"252","Wilbur Ross","James Uthmeier","Special advisor"
"253","Alan Hammer","Charles Kushner","""has long worked with"" Kushner, per New York Magazine"
"254","Charles Kushner","Dara Orbach","Parent/child"
"255","Charles Kushner","Murray Kushner","Siblings"
"256","Charles Kushner","Jim Mcgreevey","""the financial force"" behind the former governor's campaign, per New York Magazine"
"257","Charles Kushner","Joshua Kushner","Parent/child"
"258","Charles Kushner","Nicole Kushner Meyer","Parent/child"
"259","Charles Kushner","Seryl Kushner","Married"
"260","Charles Kushner","Esther Kushner","Siblings"
"261","Benjamin Netanyahu","Charles Kushner","Longtime family friends, per Reuters"
"262","Sally Priebus","Reince Priebus","Married"
"263","Reince Priebus","Katie Walsh","Former deputy chief of staff"
"264","Reince Priebus","Mallory Hunter","Executive assistant"
"265","Sean Cairncross","Reince Priebus","Senior advisor"
"266","Scott Walker","Andrew Bremberg","Policy director for Walker's campaign"
"267","Mike Ferguson","Andrew Bremberg","Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat"
"268","Mitch Mcconnell","Andrew Bremberg","Policy advisor and counsel on nominations"
"269","Julian Assange","Roger J. Stone, Jr.","Stone told the Guardian that he and Assange have a ""mutual friend"" who served as a backchannel for advance notice of WikiLeaks' Clinton-related releases"
"270","Albert Ross Sr.","Omarosé Onee Manigault","Mentored by"
"271","Omarosé Onee Manigault","H. B. Hicks","Mentored by"
"272","Richard Marvin ""dick"" Devos Jr.","Betsy Devos","Married"
"273","Betsy Devos","Erik Prince","Siblings"
"274","Betsy Devos","Richard Devos","Parent/child"
"275","Mike Pence","John Gray","Gray worked for Pence"
"276","Mike Pence","Jen Pavlik","Deputy chief of staff"
"277","Mike Pence","Thomas E. Wheeler","Wheeler worked for Pence"
"278","Mike Pence","Russ Vought","Former aide"
"279","Mike Pence","Ryan Jarmula","Jarmula ""served as a member of [Pence's] staff for a number of years,"" per the transition team"
"280","Mike Pence","Nick Ayers","Ayers is ""one of [Pence's] top political advsiors,"" per Politico"
"281","Mike Pence","Sarah Makin","Director of public engagement and intergovernmental affairs"
"282","Mike Pence","Marty Obst","Obst is a ""top Pence aide,"" per Politico"
"283","Mike Pence","Josh Pitcock","Chief of staff"
"284","Mike Pence","Jarrod P. Agen","Director of communications"
"285","Mike Pence","Marc Lotter","Press secretary"
"286","Jarrod P. Agen","Rick Snyder","Former chief of staff"
"287","Thomas E. Wheeler","Jeff Sessions","Sessions appointed Wheeler to Deputy Assistant Attorney General. Wheeler was also appointed head of the DOJ's Civil Rights Division as an Acting Assistant Attorney General."
"288","Steven Mnuchin","George Soros","Mnuchin worked for Soros' fund"
"289","Steven Mnuchin","Edward Lampert","Former college roommates; Mnuchin has a position in an entity connected to Lampert"
"290","Eric Trump","Felipe Yaryura","The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party"
"291","Eric Trump","Donald Trump Jr.","Siblings"
"292","Donald Trump Jr.","Jason D. Greenblatt","Business partners"
"293","Donald Trump Jr.","Vanessa Trump","Married"
"294","Donald Trump Jr.","Bonnie Haydon","Father-in-law/son-in-law"
"295","Donald Trump Jr.","Russell Flicker","Business partners"
"296","Donald Trump Jr.","Andriy Zaika","Met in 2006, when Zaika was head of the Ukrainian Construction Consortium"
"297","Viktor Tkachuk","Donald Trump Jr.","Met in 2006, when Tkachuk was an adviser to the Ukrainian president"
"298","Felipe Yaryura","Donald Trump Jr.","The Argentine real estate developer is said to be friends with the Trump family"
"299","Bernard R. Diamond","Donald Trump Jr.","Business partners"
"300","Don Mcgahn","Aaron Schock","McGahn provided legal services for Schock"
"301","Don Mcgahn","David Morrell","Associate Counsel to the President"
"302","Don Mcgahn","Greg Katsas","Deputy Counsel to the President"
"303","Don Mcgahn","Annie Donaldson","Special Counsel to the President, Chief of Staff to the White House Counsel"
"304","Don Mcgahn","Shannon Mcgahn","Married"
"305","Don Mcgahn","Blake Delaplane","Special assistant to the White House Counsel"
"306","Don Mcgahn","James Burnham","Senior associate counsel"
"307","Annie Donaldson","Aaron Schock","Provided legal services for"
"308","Andy Puzder","William P. Foley","Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career"
"309","Harold G. Hamm","Scott Pruitt","Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair"
"310","Jessica Ditto","Matthew Griswold Bevin","Ditto was the communications director for Bevin's office"
"311","Catherine Bray Griffith","Wells Griffith","Married"
"312","Christine Chao","Elaine Chao","Siblings"
"313","Christine Chao","James S.C. Chao","Parent/child"
"314","James S.C. Chao","Elaine Chao","Parent/child"
"315","James S.C. Chao","Angela Chao","Parent/child"
"316","Elaine Chao","Angela Chao","Siblings"
"317","Mitch Mcconnell","Elaine Chao","Married"
"318","Julia Hahn","Stephen Miller","Miller sent tips to Hahn, a Breitbart reporter"
"319","Yury Zaytsev","Sergei Millian","Went on trip to Moscow together in 2011"
"320","Sergei Millian","Vladimir Putin","Putin awarded Millian a prize in Jan. 2015 for developing ties between Russia and American businesspeople"
"321","Jack Weisselberg","Allen Weisselberg","Parent/child"
"322","Xi Jinping","Terry Branstad","Brandstad and the Chinese president have a ""friendship dating back to 1985,"" per Bloomberg Politics"
"323","John Gore","Jeff Sessions","Deputy assistant AG for Civil Rights"
"324","Jeff Sessions","Ajit Pai","Former deputy chief counsel"
"325","Stephen Miller","Jeff Sessions","Former chief of communications"
"326","Garrett Murch","Jeff Sessions","Former communications advisor"
"327","Michael Murray","Jeff Sessions","Counsel to the Deputy Attorney General"
"328","Rick Dearborn","Jeff Sessions","Former chief of staff"
"329","John Kyl","Jeff Sessions","Kyl was Sessions's ""sherpa"" for confirmation hearings"
"330","Seryl Kushner","Nicole Kushner Meyer","Parent/child"
"331","Dara Orbach","Seryl Kushner","Parent/child"
"332","Joshua Kushner","Nicole Kushner Meyer","Siblings"
"333","Dara Orbach","Nicole Kushner Meyer","Siblings"
"334","Joseph Meyer","Nicole Kushner Meyer","Married"
"335","Dara Orbach","Joshua Kushner","Siblings"
"336","Bob Dole","Robert Lighthizer","Lighthizer was Dole's campaign treasurer in 1996"
"337","Ben Carson","Barry Bennett","Bennet was Carson's presidential campaign manager"
"338","Pam Mulvaney","Mick Mulvaney","Married"
"339","Mitch Mcconnell","W.E.“ed” Bosarge","Major campaign donor"
"340","Madeleine Westerhout","Rhona Graff Riccio","Riccio helped train Westerhout, per the New York Times"
"341","Rhona Graff Riccio","Lucius Joseph Riccio","Married"
"342","Rick Perry","Peter Holt","Perry consulted for Holt, after governorship to which Holt gave money"
"343","Rick Perry","Anita Thigpen Perry","Married"
"344","Nicolas Sarkozy","Thomas J. Barrack Jr.","Sarkozy awarded France's Chevalier de la Légion d'Honneur to Barrack"
"345","Yousef Al-otaiba","Thomas J. Barrack Jr.","""Friend"" per the New York Times"
"346","Aydin Dogan","Mehmet Ali Yalcindag","Father-in-law/son-in-law"
"347","Vladimir Putin","Alexander Novak","Energy minister"
"348","Igor Sechin","Vladimir Putin","Former deputy prime minister"
"349","Rex Tillerson","Vladimir Putin","In 2012, Putin awarded Order of Friendship to Tillerson"
"350","Lev Leviev","Vladimir Putin","Described him as a ""true friend"""
"351","Sergey Kislyak","Michael Flynn","""in frequent contact,"" per Jan. 13, 2017 Associated Press article"
"352","Rex Tillerson","Alexander Novak","""Tillerson lowered his profile in Russia but continued to meet with non-sanctioned high-level Russian officials in Moscow, including Russian Energy Minister Alexander Novak,"" per the Washington Post"
"353","Rex Tillerson","Igor Sechin","""Tillerson, the CEO of ExxonMobil, has a close and personal relationship with Sechin dating back over a decade,"" per the Washington Post"
"354","Aras Agalarov","Emin Agalarov","Parent/child"
"355","Chris Christie","Bill Stepien","Former deputy chief of staff"
"356","Chris Christie","David Wildstein","Christie and Wildstein went to high school together, and Christie appointed Wildstein to a director position at the Port Authority"
"357","Stephen B. Meister","Jason D. Meister","Parent/child"
"358","Stephen Miller","Sam Nunberg","Friends"
"359","Susan Pompeo","Michael Pompeo","Married"
"360","David Horowitz","Stephen Miller","""Miller considers Horowitz a mentor,"" per Politico"
"361","Caroline May","Stephen Miller","Miller sent tips to May, a Breitbart reporter"
"362","Tucker Carlson","Stephen Miller","Miller set up meeting between Carlson and Sessions"
"363","Michelle Bachmann","Stephen Miller","Worked for her"
"364","Melania Trump","Lindsey Reynolds","Chief of staff"
"365","Stephanie Winston Wolkoff","Melania Trump","Senior adviser"
"366","Sam Brownback","Ajit Pai","Former chief counsel"
