"","V1","V2","edgevalue","na"
"142",48,55,1,FALSE
"143",53,55,1,FALSE
"144",64,55,1,FALSE
"145",66,55,1,FALSE
"146",92,55,1,FALSE
"147",108,55,1,FALSE
"148",5,56,1,FALSE
"149",10,56,1,FALSE
"150",49,56,1,FALSE
"151",54,56,1,FALSE
"152",14,57,1,FALSE
"153",73,57,1,FALSE
"154",5,61,1,FALSE
"155",83,61,1,FALSE
"156",22,66,1,FALSE
"157",61,67,1,FALSE
"158",56,68,1,FALSE
"159",94,70,1,FALSE
"160",97,70,1,FALSE
"161",106,70,1,FALSE
"162",21,77,1,FALSE
"163",23,77,1,FALSE
"164",46,81,1,FALSE
"165",60,81,1,FALSE
"166",13,82,1,FALSE
"167",18,82,1,FALSE
"168",18,83,1,FALSE
"169",50,83,1,FALSE
"170",53,83,1,FALSE
"171",58,83,1,FALSE
"172",61,83,1,FALSE
"173",106,83,1,FALSE
"174",1,87,1,FALSE
"175",67,87,1,FALSE
"176",68,87,1,FALSE
"177",90,87,1,FALSE
"178",68,89,1,FALSE
"179",1,90,1,FALSE
"180",28,90,1,FALSE
"181",30,90,1,FALSE
"182",92,90,1,FALSE
"183",27,92,1,FALSE
"184",67,93,1,FALSE
"185",83,93,1,FALSE
"186",4,94,1,FALSE
"187",7,94,1,FALSE
"188",24,94,1,FALSE
"189",33,94,1,FALSE
"190",36,94,1,FALSE
"191",56,94,1,FALSE
"192",75,94,1,FALSE
"193",80,94,1,FALSE
"194",99,94,1,FALSE
"195",106,94,1,FALSE
"196",24,95,1,FALSE
"197",50,95,1,FALSE
"198",66,95,1,FALSE
"199",19,96,1,FALSE
"200",93,97,1,FALSE
"201",2,98,1,FALSE
"202",16,98,1,FALSE
"203",28,98,1,FALSE
"204",52,98,1,FALSE
"205",86,98,1,FALSE
"206",101,98,1,FALSE
"207",29,100,1,FALSE
"208",40,100,1,FALSE
"209",48,100,1,FALSE
"210",51,100,1,FALSE
"211",52,100,1,FALSE
"212",64,100,1,FALSE
"213",27,101,1,FALSE
"214",42,101,1,FALSE
"215",45,101,1,FALSE
"216",59,101,1,FALSE
"217",102,101,1,FALSE
"218",42,102,1,FALSE
"219",62,102,1,FALSE
"220",4,103,1,FALSE
"221",34,103,1,FALSE
"222",69,103,1,FALSE
"223",63,104,1,FALSE
"224",68,104,1,FALSE
"225",92,104,1,FALSE
"226",7,106,1,FALSE
"227",38,106,1,FALSE
"228",107,106,1,FALSE
"229",32,109,1,FALSE
"230",90,109,1,FALSE
"231",1,110,1,FALSE
"232",61,110,1,FALSE
"233",67,110,1,FALSE
"234",87,110,1,FALSE
"235",90,110,1,FALSE
"236",8,111,1,FALSE
"237",46,111,1,FALSE
"238",58,111,1,FALSE
"239",63,111,1,FALSE
"240",104,111,1,FALSE
"241",28,116,1,FALSE
"242",103,116,1,FALSE
"243",127,118,1,FALSE
"244",121,119,1,FALSE
"245",142,119,1,FALSE
"246",149,120,1,FALSE
"247",119,121,1,FALSE
"248",142,121,1,FALSE
"249",120,122,1,FALSE
"250",123,122,1,FALSE
"251",125,122,1,FALSE
"252",127,122,1,FALSE
"253",130,122,1,FALSE
"254",131,122,1,FALSE
"255",132,122,1,FALSE
"256",133,122,1,FALSE
"257",135,122,1,FALSE
"258",136,122,1,FALSE
"259",137,122,1,FALSE
"260",139,122,1,FALSE
"261",140,122,1,FALSE
"262",141,122,1,FALSE
"263",145,122,1,FALSE
"264",146,122,1,FALSE
"265",147,122,1,FALSE
"266",149,122,1,FALSE
"267",150,122,1,FALSE
"268",160,122,1,FALSE
"269",119,123,1,FALSE
"270",121,123,1,FALSE
"271",124,125,1,FALSE
"272",122,126,1,FALSE
"273",129,126,1,FALSE
"274",141,127,1,FALSE
"275",124,128,1,FALSE
"276",132,128,1,FALSE
"277",126,129,1,FALSE
"278",128,132,1,FALSE
"279",147,135,1,FALSE
"280",150,135,1,FALSE
"281",156,135,1,FALSE
"282",140,139,1,FALSE
"283",129,140,1,FALSE
"284",139,140,1,FALSE
"285",143,140,1,FALSE
"286",118,141,1,FALSE
"287",122,141,1,FALSE
"288",123,141,1,FALSE
"289",124,141,1,FALSE
"290",129,141,1,FALSE
"291",131,141,1,FALSE
"292",132,141,1,FALSE
"293",135,141,1,FALSE
"294",146,141,1,FALSE
"295",149,141,1,FALSE
"296",150,141,1,FALSE
"297",144,143,1,FALSE
"298",125,144,1,FALSE
"299",120,145,1,FALSE
"300",130,145,1,FALSE
"301",133,145,1,FALSE
"302",144,145,1,FALSE
"303",156,145,1,FALSE
"304",120,147,1,FALSE
"305",122,147,1,FALSE
"306",141,147,1,FALSE
"307",143,147,1,FALSE
"308",144,147,1,FALSE
"309",133,148,1,FALSE
"310",156,148,1,FALSE
"311",131,150,1,FALSE
"312",136,150,1,FALSE
"313",159,150,1,FALSE
"314",125,151,1,FALSE
"315",123,152,1,FALSE
"316",127,152,1,FALSE
"317",130,152,1,FALSE
"318",139,152,1,FALSE
"319",140,152,1,FALSE
"320",145,152,1,FALSE
"321",147,152,1,FALSE
"322",160,152,1,FALSE
"323",134,153,1,FALSE
"324",135,153,1,FALSE
"325",137,153,1,FALSE
"326",143,153,1,FALSE
"327",145,153,1,FALSE
"328",160,153,1,FALSE
"329",136,160,1,FALSE
"330",118,161,1,FALSE
"331",119,163,1,FALSE
"332",121,163,1,FALSE
"333",128,163,1,FALSE
"334",142,163,1,FALSE
"335",146,163,1,FALSE
"336",148,166,1,FALSE
"337",177,168,1,FALSE
"338",182,168,1,FALSE
"339",189,168,1,FALSE
"340",175,170,1,FALSE
"341",194,173,1,FALSE
"342",168,175,1,FALSE
"343",169,175,1,FALSE
"344",170,175,1,FALSE
"345",179,175,1,FALSE
"346",182,175,1,FALSE
"347",168,176,1,FALSE
"348",174,176,1,FALSE
"349",186,176,1,FALSE
"350",190,176,1,FALSE
"351",191,176,1,FALSE
"352",189,177,1,FALSE
"353",173,180,1,FALSE
"354",173,181,1,FALSE
"355",180,181,1,FALSE
"356",168,182,1,FALSE
"357",169,182,1,FALSE
"358",172,182,1,FALSE
"359",175,182,1,FALSE
"360",180,183,1,FALSE
"361",172,185,1,FALSE
"362",173,185,1,FALSE
"363",183,185,1,FALSE
"364",187,185,1,FALSE
"365",183,187,1,FALSE
"366",185,187,1,FALSE
"367",180,188,1,FALSE
"368",177,189,1,FALSE
"369",177,190,1,FALSE
"370",179,190,1,FALSE
"371",184,190,1,FALSE
"372",197,190,1,FALSE
"373",174,191,1,FALSE
"374",176,191,1,FALSE
"375",182,191,1,FALSE
"376",184,191,1,FALSE
"377",186,191,1,FALSE
"378",197,191,1,FALSE
"379",179,192,1,FALSE
"380",193,192,1,FALSE
"381",194,192,1,FALSE
"382",194,193,1,FALSE
"383",176,194,1,FALSE
"384",184,194,1,FALSE
"385",193,194,1,FALSE
"386",197,194,1,FALSE
"387",176,198,1,FALSE
"388",178,198,1,FALSE
"389",186,198,1,FALSE
"390",191,198,1,FALSE
"391",174,206,1,FALSE
"392",171,207,1,FALSE
"393",190,207,1,FALSE
"394",191,207,1,FALSE
"395",204,207,1,FALSE
"396",171,208,1,FALSE
"397",187,208,1,FALSE
"398",181,209,1,FALSE
"399",187,209,1,FALSE
"400",188,209,1,FALSE
"401",190,209,1,FALSE
"402",172,210,1,FALSE
"403",181,210,1,FALSE
"404",183,210,1,FALSE
"405",185,210,1,FALSE
"406",188,210,1,FALSE
"407",224,214,1,FALSE
"408",212,216,1,FALSE
"409",217,216,1,FALSE
"410",218,216,1,FALSE
"411",219,216,1,FALSE
"412",226,216,1,FALSE
"413",229,216,1,FALSE
"414",231,216,1,FALSE
"415",237,216,1,FALSE
"416",239,216,1,FALSE
"417",212,217,1,FALSE
"418",213,217,1,FALSE
"419",214,217,1,FALSE
"420",216,217,1,FALSE
"421",218,217,1,FALSE
"422",225,217,1,FALSE
"423",231,217,1,FALSE
"424",239,217,1,FALSE
"425",242,217,1,FALSE
"426",235,218,1,FALSE
"427",243,218,1,FALSE
"428",229,221,1,FALSE
"429",237,221,1,FALSE
"430",223,222,1,FALSE
"431",214,224,1,FALSE
"432",220,229,1,FALSE
"433",223,229,1,FALSE
"434",227,229,1,FALSE
"435",243,230,1,FALSE
"436",213,231,1,FALSE
"437",215,231,1,FALSE
"438",216,231,1,FALSE
"439",219,231,1,FALSE
"440",221,231,1,FALSE
"441",226,231,1,FALSE
"442",232,231,1,FALSE
"443",234,231,1,FALSE
"444",237,231,1,FALSE
"445",215,232,1,FALSE
"446",225,232,1,FALSE
"447",235,232,1,FALSE
"448",217,233,1,FALSE
"449",235,233,1,FALSE
"450",215,234,1,FALSE
"451",217,234,1,FALSE
"452",225,234,1,FALSE
"453",218,235,1,FALSE
"454",242,236,1,FALSE
"455",213,237,1,FALSE
"456",216,237,1,FALSE
"457",219,237,1,FALSE
"458",220,237,1,FALSE
"459",221,237,1,FALSE
"460",226,237,1,FALSE
"461",232,237,1,FALSE
"462",234,237,1,FALSE
"463",243,237,1,FALSE
"464",236,238,1,FALSE
"465",242,238,1,FALSE
"466",221,239,1,FALSE
"467",220,240,1,FALSE
"468",223,240,1,FALSE
"469",227,240,1,FALSE
"470",228,240,1,FALSE
"471",234,240,1,FALSE
"472",222,242,1,FALSE
"473",238,242,1,FALSE
"474",229,243,1,FALSE
"475",214,244,1,FALSE
"476",224,244,1,FALSE
"477",222,245,1,FALSE
"478",227,245,1,FALSE
"479",228,245,1,FALSE
"480",240,245,1,FALSE
